Quarter,Minute,Second,Down,ToGo,YardLine,Outcome
1,2,25,1,10,50,1
1,1,45,2,9,51,0
1,10,34,1,10,84,0
1,9,55,2,9,85,1
1,9,10,3,3,91,1
1,7,27,1,10,56,1
1,6,44,1,10,78,2
3,4,9,2,1,70,0
3,3,28,1,10,73,0
1,12,16,2,10,51,0
1,11,44,3,6,55,1
1,11,13,1,10,60,0
1,10,27,2,12,58,1
3,9,33,3,5,53,1
2,5,9,0,0,85,0
2,3,50,2,6,51,1
1,3,35,1,10,67,0
1,2,57,2,9,68,0
3,6,5,1,10,59,0
3,5,27,2,7,62,1
3,5,22,1,10,67,1
4,1,28,2,1,99,1
2,0,47,2,9,79,1
2,0,52,1,10,78,0
2,1,24,1,10,67,1
2,1,52,4,2,53,1
2,2,0,3,1,54,0
2,4,16,0,0,85,0
2,4,29,2,7,79,1
2,5,13,1,10,76,0
2,5,57,1,10,59,0
1,3,51,4,7,61,0
1,3,51,4,1,67,0
1,3,56,3,1,67,1
1,4,39,2,10,58,0
1,5,23,1,10,58,0
1,8,33,0,0,85,0
1,8,50,0,0,85,0
1,8,54,1,3,97,1
1,9,34,2,10,74,1
1,9,39,1,10,74,2
1,10,18,1,10,55,0
4,0,6,1,10,80,0
4,1,21,4,8,77,2
4,1,26,3,8,77,2
4,1,54,2,4,81,0
4,2,1,1,10,75,1
4,2,29,2,5,69,1
4,2,58,1,10,64,1
4,4,40,4,18,52,0
4,4,44,3,18,52,1
4,5,27,2,12,58,0
4,6,8,1,10,60,0
4,8,4,4,4,69,0
4,3,25,2,5,80,1
4,4,6,1,10,75,0
4,4,26,4,7,62,1
4,4,30,3,7,62,1
4,4,35,2,7,62,1
4,5,17,1,10,59,0
4,7,27,0,0,85,0
4,7,33,3,2,93,1
4,8,14,2,11,84,1
4,8,53,1,10,85,0
4,9,30,2,1,81,0
4,10,9,1,10,72,0
4,10,42,1,10,58,0
4,12,38,4,3,52,0
3,1,18,0,0,85,0
3,1,24,1,10,84,2
3,2,13,1,10,61,2
3,2,57,3,1,57,0
3,3,41,2,8,50,0
3,4,25,0,0,85,0
3,4,36,3,1,64,1
3,5,20,2,5,60,0
3,5,58,1,10,55,1
4,0,37,3,12,75,0
4,1,11,2,11,76,0
4,1,50,1,10,77,0
4,8,9,3,4,69,2
4,8,40,2,10,63,1
4,8,44,1,10,63,2
4,9,50,3,5,50,0
3,0,6,0,0,80,0
3,0,6,0,0,85,0
3,0,9,3,1,99,0
3,0,47,2,1,99,0
3,1,21,1,6,94,0
3,1,46,2,3,88,1
3,2,15,1,10,81,0
2,0,52,0,0,85,0
2,0,56,1,6,94,1
2,1,4,1,10,81,1
2,1,12,2,5,72,0
2,1,43,1,10,67,1
2,1,53,1,10,62,1
2,2,0,4,4,57,0
2,4,5,2,9,52,1
2,4,49,1,10,51,1
2,7,45,4,7,57,0
2,8,28,3,9,55,1
2,9,15,2,10,54,0
2,9,23,1,10,54,2
2,11,46,4,9,61,0
2,11,51,3,9,61,1
2,11,55,2,9,61,1
2,12,39,1,10,60,0
2,13,17,2,4,54,0
3,10,19,3,1,75,0
3,10,59,2,2,74,0
3,11,36,1,10,66,0
3,12,1,1,10,56,0
2,0,6,2,2,86,0
2,0,11,1,10,78,1
2,0,18,2,4,65,1
2,0,24,1,10,59,1
2,0,34,4,6,65,0
2,0,39,3,6,65,2
2,0,45,2,14,57,1
2,1,10,1,20,51,1
2,1,19,1,10,61,1
3,3,40,0,0,85,0
3,3,43,3,5,91,1
3,4,28,2,15,81,1
3,4,30,1,15,81,1
3,4,52,1,10,86,0
3,6,38,0,0,85,0
3,6,43,2,7,93,1
3,7,27,1,8,92,0
3,8,12,2,5,81,1
3,8,54,1,10,76,0
3,9,25,1,10,54,1
2,0,38,0,0,85,0
2,0,44,1,10,90,1
2,1,8,3,3,85,1
2,1,13,2,3,85,1
2,1,18,1,10,78,1
2,5,48,4,8,59,0
2,5,53,3,8,59,2
2,6,35,2,10,57,0
2,6,41,1,10,57,2
2,9,16,0,0,85,0
2,9,23,1,10,67,2
2,9,59,3,2,59,1
2,10,37,2,8,53,0
2,11,17,1,10,51,0
2,14,56,0,0,85,0
3,7,53,2,3,50,0
2,0,3,2,1,99,0
2,0,7,1,1,99,1
2,0,12,2,4,91,1
2,0,16,1,10,85,1
2,0,21,1,10,72,1
2,0,43,1,10,61,1
2,2,42,4,4,58,2
2,2,49,3,4,58,1
2,3,32,2,6,56,0
2,4,7,1,10,52,0
2,7,4,4,5,85,0
2,7,11,3,5,85,1
2,7,19,2,5,85,1
2,8,3,1,10,80,1
2,8,42,2,2,75,0
2,9,26,1,10,67,1
2,10,2,2,5,60,0
2,10,42,1,10,55,0
2,13,33,0,0,85,0
2,13,39,3,5,79,2
2,14,21,2,8,76,0
2,14,52,1,10,74,0
1,2,5,4,3,76,0
1,2,9,3,3,76,1
1,2,15,2,3,76,2
1,2,53,1,10,69,0
1,3,32,1,10,58,1
1,4,17,2,2,55,0
1,8,44,4,8,58,0
1,8,49,3,8,58,2
1,9,30,2,7,59,0
1,10,8,1,10,56,1
1,13,14,4,5,95,0
1,13,18,3,5,95,1
1,13,24,2,5,95,1
1,14,0,1,10,90,0
4,0,11,4,8,64,1
4,0,17,3,8,64,2
4,0,40,2,5,67,0
4,0,40,2,10,62,0
4,0,43,1,10,62,1
4,1,4,1,10,50,1
4,1,44,4,6,86,0
4,1,52,3,10,82,0
4,2,0,2,11,81,0
4,2,43,1,10,82,0
4,3,28,2,2,80,0
4,4,12,1,10,72,0
4,4,54,3,5,61,1
4,5,36,2,7,59,0
4,6,19,1,10,56,0
4,8,38,3,10,59,0
3,4,33,4,4,96,1
3,5,12,3,5,95,0
3,5,16,2,5,95,1
3,5,55,1,5,95,0
3,6,46,2,8,79,0
3,7,22,1,10,77,0
3,7,55,2,10,61,0
3,8,2,1,10,61,2
3,8,47,2,3,56,0
1,1,30,0,0,85,0
1,1,37,3,5,88,0
1,1,43,2,5,88,1
1,2,16,1,10,83,0
1,2,16,3,4,78,0
1,2,21,2,4,78,1
1,2,51,1,10,72,1
1,3,32,3,18,53,2
1,4,19,2,11,60,0
1,4,36,2,6,65,0
1,5,11,1,10,61,1
1,5,50,2,8,51,1
4,6,11,0,0,85,0
4,6,15,2,6,92,1
4,6,48,1,15,83,1
4,7,1,1,10,88,0
4,7,42,3,5,81,1
4,8,19,2,10,76,0
4,8,24,1,10,76,1
4,9,0,2,10,63,1
4,9,37,1,10,63,0
4,11,12,0,0,85,0
4,11,16,2,1,98,0
4,11,50,1,10,89,0
4,12,31,3,1,86,0
4,13,4,2,7,80,1
4,13,41,1,10,77,0
4,14,14,2,5,71,1
4,14,58,1,10,66,0
4,15,0,3,6,59,1
3,0,10,2,10,55,0
3,0,15,1,10,55,1
3,0,24,3,10,57,0
3,0,30,2,10,57,1
3,1,4,1,10,57,0
3,3,38,0,0,98,0
3,3,45,4,3,66,2
3,3,50,3,3,66,2
3,4,36,2,10,59,1
3,5,13,1,10,59,0
3,8,24,0,0,85,0
3,8,31,2,4,87,1
3,8,58,1,10,81,0
3,9,38,1,10,66,1
3,10,17,3,13,51,1
3,11,3,2,10,54,0
3,11,41,1,10,54,0
2,0,7,1,15,61,0
2,0,7,1,10,66,0
2,0,11,4,1,54,1
2,0,17,3,4,51,1
2,0,58,4,3,57,0
2,1,2,3,3,57,1
2,1,7,2,10,50,1
2,1,10,1,10,50,1
2,2,20,0,0,85,0
2,2,27,2,6,69,2
2,3,8,1,10,65,1
1,11,33,1,10,50,0
4,0,38,2,12,75,0
4,1,14,1,10,77,0
4,2,0,3,5,71,0
4,2,42,2,7,69,0
4,2,50,1,10,66,0
4,4,18,0,0,85,0
4,4,22,1,3,97,0
4,5,5,2,11,85,0
4,5,43,1,10,86,0
4,6,30,2,4,78,0
4,7,14,1,10,72,0
4,7,54,3,2,58,0
4,8,34,2,4,56,0
4,9,19,1,10,50,0
4,10,7,4,10,67,0
4,10,12,3,10,67,2
4,10,15,2,10,67,1
4,10,21,1,10,67,1
4,10,57,3,11,51,1
4,11,38,2,10,52,1
4,11,43,1,10,52,1
4,15,0,4,6,88,0
3,0,1,3,3,91,0
3,0,33,2,13,81,1
3,1,8,1,10,84,0
3,1,20,4,5,74,0
3,1,24,3,5,74,1
3,1,29,2,5,74,1
3,2,12,1,10,69,0
3,2,55,2,4,63,0
3,3,36,1,10,57,1
3,4,13,3,1,55,0
3,4,58,2,5,51,0
3,11,40,4,8,73,0
3,12,15,3,12,69,0
3,12,21,2,12,69,2
3,13,2,1,10,71,0
3,13,29,1,10,56,0
3,7,8,0,0,85,0
3,7,10,2,1,99,0
3,7,23,1,4,96,0
3,14,0,0,0,85,0
3,14,7,1,10,60,0
2,2,23,0,0,85,0
2,7,33,2,10,52,1
2,7,38,1,10,52,1
2,13,41,4,17,71,0
2,14,18,3,8,80,0
2,14,50,2,15,73,1
2,14,56,1,15,73,2
2,14,56,1,10,78,0
2,15,0,2,11,67,1
2,15,0,2,6,72,0
1,0,13,1,10,68,1
1,0,47,3,1,66,0
1,1,9,2,8,59,0
1,1,45,1,10,57,0
1,4,50,0,0,85,0
1,5,0,2,4,51,0
1,7,55,0,0,85,0
1,8,3,2,10,59,1
1,8,42,1,10,59,0
4,11,21,1,10,84,0
4,12,2,2,5,73,1
